id  content                                                                                                 embedding  memory_type  created_at           accessed_at          access_count  importance_score
--  ------------------------------------------------------------------------------------------------------  ---------  -----------  -------------------  -------------------  ------------  ----------------
1   System: I am SmartFriend, an AI assistant with memory and web search capabilities.                                 system       2025-11-08 06:26:51  2025-11-08 06:26:51  1             0.9             
2   Capability: I can browse the web, remember conversations, and answer questions using multiple sources.             semantic     2025-11-08 06:26:51  2025-11-08 06:26:51  1             0.8             
3   System: I am SmartFriend, an AI assistant with memory and web search capabilities.                                 system       2025-11-08 06:34:32  2025-11-08 06:34:32  1             0.9             
4   Capability: I can browse the web, remember conversations, and answer questions using multiple sources.             semantic     2025-11-08 06:34:32  2025-11-08 06:34:32  1             0.8             
5   System: I am SmartFriend, an AI assistant with memory and web search capabilities.                                 system       2025-11-08 06:42:07  2025-11-08 06:42:07  1             0.9             
6   Capability: I can browse the web, remember conversations, and answer questions using multiple sources.             semantic     2025-11-08 06:42:07  2025-11-08 06:42:07  1             0.8             
7   System: I am SmartFriend, an AI assistant with memory and web search capabilities.                                 system       2025-11-08 06:46:28  2025-11-08 06:46:28  1             0.9             
8   Capability: I can browse the web, remember conversations, and answer questions using multiple sources.             semantic     2025-11-08 06:46:28  2025-11-08 06:46:28  1             0.8             
9   System: I am SmartFriend, an AI assistant with memory and web search capabilities.                                 system       2025-11-08 07:12:46  2025-11-08 07:12:46  1             0.9             
10  Capability: I can browse the web, remember conversations, and answer questions using multiple sources.             semantic     2025-11-08 07:12:46  2025-11-08 07:12:46  1             0.8             
11  System: I am SmartFriend, an AI assistant with memory and web search capabilities.                                 system       2025-11-08 07:13:09  2025-11-08 07:13:09  1             0.9             
12  Capability: I can browse the web, remember conversations, and answer questions using multiple sources.             semantic     2025-11-08 07:13:09  2025-11-08 07:13:09  1             0.8             
